Supported,Mod Version,Mod,Author(s),Released
V1.1.0,0.3.2,AAI Containers,Earendel,28/08/2026
V1.1.0,0.6.16,AAI Industry,Earendel,28/08/2026
V1.0.4,0.2.11,AAI Loaders,Earendel,11/01/2026
V1.1.0,0.8.3,AAI Programmable Structures,Earendel,28/08/2026
V1.1.0,0.8.5,AAI Programmable Vehicles,Earendel,28/08/2026
V1.1.0,0.5.3,AAI Signal Transmission,Earendel,28/08/2026
V1.1.0,0.7.1,AAI Signals,Earendel,28/08/2026
V1.1.0,0.7.2,AAI Vehicles: Chaingunner,Earendel,28/08/2026
V1.1.0,0.6.2,AAI Vehicles: Flame Tank,Earendel,28/08/2026
V1.1.0,0.7.2,AAI Vehicles: Flame Tumbler,Earendel,28/08/2026
V1.1.0,0.7.3,AAI Vehicles: Hauler,Earendel,28/08/2026
V1.1.0,0.7.5,AAI Vehicles: Ironclad,Earendel,28/08/2026
V1.1.0,0.7.4,AAI Vehicles: Laser Tank,Earendel,28/08/2026
V1.1.0,0.7.1,AAI Vehicles: Miner,Earendel,28/08/2026
V1.1.0,0.6.4,AAI Vehicles: Warden,Earendel,28/08/2026
V1.1.0,0.7.2,AAI Zones,Earendel,28/08/2026
V1.1.0,1.0.7,Accumulator V2,Sacredanarchy,28/08/2026
V1.0.3,1.0.14,Actual Underground Pipes,protocol_1903,07/12/2025
V1.0.3,1.0.3,Advanced Atomic Science,Velaanix,07/12/2025
V1.0.4,1.3.6,Agricultural Roboport,Proffzulus,11/01/2026
V1.1.0,0.7.4,Alien Biomes,Earendel,28/08/2026
V1.0.4,0.6.0,Alloy Smelting,SafTheLamb & S6X,11/01/2026
V1.1.0,2.0.3,Angel's Petrochemical Processing,Arch666Angel,28/08/2026
V1.1.0,2.0.4,Angel's Refining,Arch666Angel,28/08/2026
V1.0.5,0.0.1,Apia,DimonSever000,12/02/2026
V1.1.0,2.0.2,Armoured Biters,CybranM,28/08/2026
V1.0.3,1.5.0,Assembling Machine 2.5,DrinkShellOil,07/12/2025
V1.1.0,1.9.0,Astroponics,SafTheLamb,28/08/2026
V1.1.0,2.0.0,ATC Tower,Zniwiarz44,28/08/2026
V1.1.0,0.7.1,Avatars,DedlySpyder,28/08/2026
V1.0.4,0.5.0,Barreling Group,"pav, GeneralTank & Evilpla",11/01/2026
V1.0.3,0.1.7,Basic Chemistry,EleusisLaArwall,07/12/2025
V1.0.3,0.1.0,Basic Chemistry Full Control,EleusisLaArwall,07/12/2025
V1.0.0,2.0.3,Battery-Electric Train,catWEax,11/11/2025
V1.1.0,2.0.3,Beacon Rebalance,wretlaw120,28/08/2026
V1.1.0,2.0.2,Belt Visualizer,_CodeGreen,28/08/2026
V1.1.0,0.4.6,Better Chatting,PennyJim,28/08/2026
V1.0.0,2.0.31,Bio Industries,"TheSAguy, Pi-C, Snouz & cackling.fiend",11/11/2025
V1.1.0,1.5.0,Bio processing group,Frontrider,28/08/2026
V1.0.6,0.1.3,Biter Attractors,O5MO,24/06/2026
V1.1.0,3.2.2,Blueprint Sandboxes,somethingtohide,28/08/2026
V1.0.3,2.7.3,Bluetonium,S6X,07/12/2025
V1.1.0,2.0.3,Bob's Adjustable Inserters,Bobingabout,28/08/2026
V1.1.0,2.1.0,Bob's Assembling machines,Bobingabout,28/08/2026
V1.1.0,2.1.1,Bob's Electronics,Bobingabout,28/08/2026
V1.1.0,2.1.0,Bob's Enemies,Bobingabout,28/08/2026
V1.1.0,2.1.0,Bob's Functions Library mod,Bobingabout,28/08/2026
V1.1.0,2.1.1,Bob's Logistics mod,Bobingabout,28/08/2026
V1.1.0,2.1.1,"Bob's Metals, Chemicals and Intermediates",Bobingabout,28/08/2026
V1.1.0,2.1.0,Bob's Mining,Bobingabout,28/08/2026
V1.1.0,2.1.0,Bob's Modules,Bobingabout,28/08/2026
V1.1.0,2.1.2,Bob's Ores,Bobingabout,28/08/2026
V1.1.0,2.1.0,Bob's Power,Bobingabout,28/08/2026
V1.1.0,2.1.1,Bob's Revamp mod,Bobingabout,28/08/2026
V1.1.0,2.1.0,Bob's Tech,Bobingabout,28/08/2026
V1.1.0,2.1.1,Bob's Vehicle Equipment,Bobingabout,28/08/2026
V1.1.0,2.1.0,Bob's Warfare,Bobingabout,28/08/2026
V1.1.0,1.3.4,Bottleneck Lite,raiguard,28/08/2026
V1.1.0,0.7.1,Bullet Trails,Earendel,28/08/2026
V1.1.0,1.1.2,Call a Plumber,half_a_cat,28/08/2026
